horizon,model,outer_fold,N,MAE,MSE,RMSE,MASE,MASE_period,MASE_denom_train_only,MASE_method,date_start,date_end,dataset_sha256,split_sha256,source_run_id,artifact_generation_commit,package_freeze_tag,package_freeze_commit,assembly_id
1,ElasticNet,1,254,1.600332464977656,3.9950924742163205,1.9987727420135388,1.3791251652651313,1,1.1603968253968253,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2021-09-30,2022-06-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,elasticnet_corrected_69cfb2bf8bc1_6ed147cd_f83baf57,69cfb2bf8bc181dc1de1e09f0c7477a1a5de7585,elasticnet-corrected-v1,1db2f3472cd48274a5afa4010f446952d76c6042,canonical_h1_h3_reconciliation_9f680046d8619817
1,ElasticNet,2,254,1.3630752959273653,3.0839690877130237,1.7561233122172895,1.0909949527629403,1,1.2493873517786562,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2022-06-11,2023-02-19,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,elasticnet_corrected_69cfb2bf8bc1_6ed147cd_f83baf57,69cfb2bf8bc181dc1de1e09f0c7477a1a5de7585,elasticnet-corrected-v1,1db2f3472cd48274a5afa4010f446952d76c6042,canonical_h1_h3_reconciliation_9f680046d8619817
1,ElasticNet,3,254,1.7838863496532262,4.747633453136895,2.1789064810443093,1.3316245872042758,1,1.3396315789473685,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2023-02-20,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,elasticnet_corrected_69cfb2bf8bc1_6ed147cd_f83baf57,69cfb2bf8bc181dc1de1e09f0c7477a1a5de7585,elasticnet-corrected-v1,1db2f3472cd48274a5afa4010f446952d76c6042,canonical_h1_h3_reconciliation_9f680046d8619817
1,HGBR,1,254,1.605254144179916,4.153340536464164,2.0379746162462777,1.3833665412240286,1,1.1603968253968253,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2021-09-30,2022-06-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,hgbr_corrected_1db2f3472cd4_6ed147cd_f83baf57,1db2f3472cd48274a5afa4010f446952d76c6042,hgbr-corrected-v1,4d16b4d513e4fd9aa7c1acd85d0b5894ce4d5d62,canonical_h1_h3_reconciliation_9f680046d8619817
1,HGBR,2,254,1.5127763702441268,3.6827055067353025,1.91903765120315,1.2108145379250794,1,1.2493873517786562,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2022-06-11,2023-02-19,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,hgbr_corrected_1db2f3472cd4_6ed147cd_f83baf57,1db2f3472cd48274a5afa4010f446952d76c6042,hgbr-corrected-v1,4d16b4d513e4fd9aa7c1acd85d0b5894ce4d5d62,canonical_h1_h3_reconciliation_9f680046d8619817
1,HGBR,3,254,1.8767246063948546,5.217485670033565,2.2841816193187365,1.4009259220871666,1,1.3396315789473685,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2023-02-20,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,hgbr_corrected_1db2f3472cd4_6ed147cd_f83baf57,1db2f3472cd48274a5afa4010f446952d76c6042,hgbr-corrected-v1,4d16b4d513e4fd9aa7c1acd85d0b5894ce4d5d62,canonical_h1_h3_reconciliation_9f680046d8619817
1,Persistence,1,254,1.3324803149606301,3.1537799212598423,1.7758884878448429,1.148297103757294,1,1.1603968253968253,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2021-09-30,2022-06-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,persistence_corrected_2bbf5eba419b_6ed147cd_f83baf57,2bbf5eba419b0650693f1e88326107bf9a346c68,persistence-corrected-v1,41f184a29ff88aaf275f3365267b8c909ce7598a,canonical_h1_h3_reconciliation_9f680046d8619817
1,Persistence,2,254,1.5222047244094488,3.88526062992126,1.9711064481456246,1.2183609198732823,1,1.2493873517786562,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2022-06-11,2023-02-19,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,persistence_corrected_2bbf5eba419b_6ed147cd_f83baf57,2bbf5eba419b0650693f1e88326107bf9a346c68,persistence-corrected-v1,41f184a29ff88aaf275f3365267b8c909ce7598a,canonical_h1_h3_reconciliation_9f680046d8619817
1,Persistence,3,254,1.7834742052755908,5.695209016453297,2.386463705245336,1.3313169321864295,1,1.3396315789473685,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2023-02-20,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,persistence_corrected_2bbf5eba419b_6ed147cd_f83baf57,2bbf5eba419b0650693f1e88326107bf9a346c68,persistence-corrected-v1,41f184a29ff88aaf275f3365267b8c909ce7598a,canonical_h1_h3_reconciliation_9f680046d8619817
1,Ridge,1,254,1.5860623448409408,3.9354233847584643,1.9837901564324953,1.366827544475332,1,1.1603968253968253,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2021-09-30,2022-06-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,ridge_corrected_41f184a29ff8_6ed147cd_f83baf57,41f184a29ff88aaf275f3365267b8c909ce7598a,ridge-corrected-v1,69cfb2bf8bc181dc1de1e09f0c7477a1a5de7585,canonical_h1_h3_reconciliation_9f680046d8619817
1,Ridge,2,254,1.3593775618568986,3.0722848918438723,1.7527934538455672,1.0880353149354545,1,1.2493873517786562,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2022-06-11,2023-02-19,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,ridge_corrected_41f184a29ff8_6ed147cd_f83baf57,41f184a29ff88aaf275f3365267b8c909ce7598a,ridge-corrected-v1,69cfb2bf8bc181dc1de1e09f0c7477a1a5de7585,canonical_h1_h3_reconciliation_9f680046d8619817
1,Ridge,3,254,1.7305853542661773,4.495716788097222,2.12031054048628,1.2918367857035504,1,1.3396315789473685,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,2023-02-20,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,ridge_corrected_41f184a29ff8_6ed147cd_f83baf57,41f184a29ff88aaf275f3365267b8c909ce7598a,ridge-corrected-v1,69cfb2bf8bc181dc1de1e09f0c7477a1a5de7585,canonical_h1_h3_reconciliation_9f680046d8619817
