configuration_id,configuration_label,maximum_required_history_days,earliest_possible_feature_date,horizon,outer_fold,canonical_outer_test_rows,available_outer_test_rows,rows_lost_due_warmup,canonical_feature_date_start,canonical_feature_date_end,available_feature_date_start,available_feature_date_end,canonical_target_date_start,canonical_target_date_end,available_target_date_start,available_target_date_end,preserves_all_canonical_test_dates
LONG,LONG,30,2021-02-03,1,1,254,254,0,2021-09-29,2022-06-09,2021-09-29,2022-06-09,2021-09-30,2022-06-10,2021-09-30,2022-06-10,True
LONG,LONG,30,2021-02-03,1,2,254,254,0,2022-06-10,2023-02-18,2022-06-10,2023-02-18,2022-06-11,2023-02-19,2022-06-11,2023-02-19,True
LONG,LONG,30,2021-02-03,1,3,254,254,0,2023-02-19,2023-10-30,2023-02-19,2023-10-30,2023-02-20,2023-10-31,2023-02-20,2023-10-31,True
LONG,LONG,30,2021-02-03,1,pooled,762,762,0,2021-09-29,2023-10-30,2021-09-29,2023-10-30,2021-09-30,2023-10-31,2021-09-30,2023-10-31,True
LONG,LONG,30,2021-02-03,3,1,249,249,0,2021-10-12,2022-06-17,2021-10-12,2022-06-17,2021-10-15,2022-06-20,2021-10-15,2022-06-20,True
LONG,LONG,30,2021-02-03,3,2,249,249,0,2022-06-18,2023-02-21,2022-06-18,2023-02-21,2022-06-21,2023-02-24,2022-06-21,2023-02-24,True
LONG,LONG,30,2021-02-03,3,3,249,249,0,2023-02-22,2023-10-28,2023-02-22,2023-10-28,2023-02-25,2023-10-31,2023-02-25,2023-10-31,True
LONG,LONG,30,2021-02-03,3,pooled,747,747,0,2021-10-12,2023-10-28,2021-10-12,2023-10-28,2021-10-15,2023-10-31,2021-10-15,2023-10-31,True
LONG,LONG,30,2021-02-03,5,1,249,249,0,2021-10-10,2022-06-15,2021-10-10,2022-06-15,2021-10-15,2022-06-20,2021-10-15,2022-06-20,True
LONG,LONG,30,2021-02-03,5,2,249,249,0,2022-06-16,2023-02-19,2022-06-16,2023-02-19,2022-06-21,2023-02-24,2022-06-21,2023-02-24,True
LONG,LONG,30,2021-02-03,5,3,249,249,0,2023-02-20,2023-10-26,2023-02-20,2023-10-26,2023-02-25,2023-10-31,2023-02-25,2023-10-31,True
LONG,LONG,30,2021-02-03,5,pooled,747,747,0,2021-10-10,2023-10-26,2021-10-10,2023-10-26,2021-10-15,2023-10-31,2021-10-15,2023-10-31,True
REFERENCE,REFERENCE,14,2021-01-18,1,1,254,254,0,2021-09-29,2022-06-09,2021-09-29,2022-06-09,2021-09-30,2022-06-10,2021-09-30,2022-06-10,True
REFERENCE,REFERENCE,14,2021-01-18,1,2,254,254,0,2022-06-10,2023-02-18,2022-06-10,2023-02-18,2022-06-11,2023-02-19,2022-06-11,2023-02-19,True
REFERENCE,REFERENCE,14,2021-01-18,1,3,254,254,0,2023-02-19,2023-10-30,2023-02-19,2023-10-30,2023-02-20,2023-10-31,2023-02-20,2023-10-31,True
REFERENCE,REFERENCE,14,2021-01-18,1,pooled,762,762,0,2021-09-29,2023-10-30,2021-09-29,2023-10-30,2021-09-30,2023-10-31,2021-09-30,2023-10-31,True
REFERENCE,REFERENCE,14,2021-01-18,3,1,249,249,0,2021-10-12,2022-06-17,2021-10-12,2022-06-17,2021-10-15,2022-06-20,2021-10-15,2022-06-20,True
REFERENCE,REFERENCE,14,2021-01-18,3,2,249,249,0,2022-06-18,2023-02-21,2022-06-18,2023-02-21,2022-06-21,2023-02-24,2022-06-21,2023-02-24,True
REFERENCE,REFERENCE,14,2021-01-18,3,3,249,249,0,2023-02-22,2023-10-28,2023-02-22,2023-10-28,2023-02-25,2023-10-31,2023-02-25,2023-10-31,True
REFERENCE,REFERENCE,14,2021-01-18,3,pooled,747,747,0,2021-10-12,2023-10-28,2021-10-12,2023-10-28,2021-10-15,2023-10-31,2021-10-15,2023-10-31,True
REFERENCE,REFERENCE,14,2021-01-18,5,1,249,249,0,2021-10-10,2022-06-15,2021-10-10,2022-06-15,2021-10-15,2022-06-20,2021-10-15,2022-06-20,True
REFERENCE,REFERENCE,14,2021-01-18,5,2,249,249,0,2022-06-16,2023-02-19,2022-06-16,2023-02-19,2022-06-21,2023-02-24,2022-06-21,2023-02-24,True
REFERENCE,REFERENCE,14,2021-01-18,5,3,249,249,0,2023-02-20,2023-10-26,2023-02-20,2023-10-26,2023-02-25,2023-10-31,2023-02-25,2023-10-31,True
REFERENCE,REFERENCE,14,2021-01-18,5,pooled,747,747,0,2021-10-10,2023-10-26,2021-10-10,2023-10-26,2021-10-15,2023-10-31,2021-10-15,2023-10-31,True
SHORT,SHORT,7,2021-01-11,1,1,254,254,0,2021-09-29,2022-06-09,2021-09-29,2022-06-09,2021-09-30,2022-06-10,2021-09-30,2022-06-10,True
SHORT,SHORT,7,2021-01-11,1,2,254,254,0,2022-06-10,2023-02-18,2022-06-10,2023-02-18,2022-06-11,2023-02-19,2022-06-11,2023-02-19,True
SHORT,SHORT,7,2021-01-11,1,3,254,254,0,2023-02-19,2023-10-30,2023-02-19,2023-10-30,2023-02-20,2023-10-31,2023-02-20,2023-10-31,True
SHORT,SHORT,7,2021-01-11,1,pooled,762,762,0,2021-09-29,2023-10-30,2021-09-29,2023-10-30,2021-09-30,2023-10-31,2021-09-30,2023-10-31,True
SHORT,SHORT,7,2021-01-11,3,1,249,249,0,2021-10-12,2022-06-17,2021-10-12,2022-06-17,2021-10-15,2022-06-20,2021-10-15,2022-06-20,True
