artifact_role,model,horizon,relative_path,sha256,exists,consumed_for_stage2,source_category,notes
feature_builder,ALL,ALL,src/build_ulsan_npz.py,d4dd5f6e82db1b260688b00eff789cc59bb291464d601d44b3fae14a7e8ab5be,True,True,source_builder,Source NPZ builder inspected for feature construction rules.
feature_builder,ALL,ALL,src/build_ulsan_npz_H1.py,24a55905d57070eca7d5d250302a80731992e94a346393ea677568a708fc152e,True,True,source_builder,Source NPZ builder inspected for feature construction rules.
feature_builder,ALL,ALL,src/build_ulsan_npz_v2.py,542f2f9d0e5f76637e1bc849a2a8c41786255f63d51535ebba5c1803dbe2b21c,True,True,source_builder,Source NPZ builder inspected for feature construction rules.
feature_npz,ALL,ALL,features/ulsan_H1_features.npz,311a610eaaca278b0eb0cb53051cc10b3016716f5630ee4d04c38730eb2cf435,True,True,npz,NPZ schema/date/hash inspected (H1_ordinary)
feature_npz,ALL,ALL,features/ulsan_H3_features.npz,df97bac6581c4859f2cb37640f3d14c153a87eb078db978b890c0448f7e0dea8,True,True,npz,NPZ schema/date/hash inspected (H3_ordinary)
feature_npz,ALL,ALL,features/ulsan_H3_features_v2.npz,2a38da9458abc3732efe46a6417dabc7a1145cffb262b05e83f34ad2951712f3,True,True,npz,NPZ schema/date/hash inspected (H3_v2)
feature_npz,ALL,ALL,features/ulsan_H5_features.npz,4b542b0640e1cbee5587b3ba455631d79481e0cf27c0a68c1788bfdd9aa9d3bf,True,True,npz,NPZ schema/date/hash inspected (H5_ordinary)
feature_npz,ALL,ALL,features/ulsan_H5_features_v2.npz,ea1cbacf7ac204c0cb60f880d9dec2ba10c5a9b509bead0785b726f54ae46066,True,True,npz,NPZ schema/date/hash inspected (H5_v2)
manifest,ALL,ALL,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/bcr_tcn_v11_h5_run_manifest.json,e37fe2d3a156c549abc06036ca118fa3f4fca332f9aa3bbd35419960038cba30,True,True,manifest,Frozen manifest consumed for lineage/provenance.
manifest,ALL,ALL,revision_2026/04_controlled_reruns/elasticnet/elasticnet_run_manifest.json,14be259172e160e5dffb56432e6c71482c4c80c7dfec10fad51a9dc6f9ec6b15,True,True,manifest,Frozen manifest consumed for lineage/provenance.
manifest,ALL,ALL,revision_2026/04_controlled_reruns/hgbr/hgbr_run_manifest.json,e03082490b0a7b7fb6116c6ef2ba316f55487fa405aec1b11654a5a107c80d96,True,True,manifest,Frozen manifest consumed for lineage/provenance.
manifest,ALL,ALL,revision_2026/04_controlled_reruns/persistence/persistence_run_manifest.json,444b2d820e38e5704b90010cb1fd1890aa85a5de1560a024eb5689ccdc107c2a,True,True,manifest,Frozen manifest consumed for lineage/provenance.
manifest,ALL,ALL,revision_2026/04_controlled_reruns/ridge/ridge_run_manifest.json,af0dede277f047c90e483480d21fd6d485edce14e78d9bf8b20d4bdfb2d8438b,True,True,manifest,Frozen manifest consumed for lineage/provenance.
manifest,ALL,ALL,revision_2026/09_h1_h3_reconciliation/canonical_h1_h3_reconciliation_manifest.json,6ab856e6a7336ec374e94d34a7a042303ddc65f22e4926025f4f2f03bfbb5108,True,True,manifest,Frozen manifest consumed for lineage/provenance.
model_runner,ALL,ALL,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/run_corrected_bcr_tcn_v11_h5.py,db7f8c48c282cb625d68b81d4f208f8ce48e4bbf9b0c73e85feb650b46cd1e81,True,True,controlled_rerun_runner,Final corrected runner inspected for lineage usage.
