model,horizon,final_pathway,feature_set_id,feature_count,tnout_lags,tnout_rolls,tnout_roll_construction,tnout_roll_includes_day_t,non_tnout_rolls,non_tnout_rolls_include_day_t,builder_source,artifact_source,artifact_sha256,model_ready_start,model_ready_end,warmup_days,used_in_final_corrected_model,lineage_notes
BCR-TCN,5,v2_npz_context_only,ulsan_H5_features_v2_npz_34col,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7,TNout_roll14; TNout_roll30; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll14; BODin_roll7; C_N_roll14; Inflow_roll14; Inflow_roll7; TNin_roll14; TNin_roll7; TOCin_roll14; TOCin_roll7; precip_sum14; precip_sum3; precip_sum7; temp_roll14; temp_roll30; temp_roll7,True,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/run_corrected_bcr_tcn_v11_h5.py; src/build_ulsan_npz_v2.py,features/ulsan_H5_features_v2.npz,ea1cbacf7ac204c0cb60f880d9dec2ba10c5a9b509bead0785b726f54ae46066,2021-02-03,2023-10-26,30,True,BCR-TCN lineage documented for context only; minimal Stage 2 design does not refit BCR-TCN.
ElasticNet,1,ordinary_submitted_non_v2,submitted_main_linear_features_H1_18col,18,TNout_lag1,TNout_roll14; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll7; Inflow_roll7; TNin_roll7; TOCin_roll7; precip_sum3; temp_roll7,True,revision_2026/04_controlled_reruns/elasticnet/run_corrected_elasticnet.py; src/build_ulsan_npz.py,derived_in_run_from_canonical_dataset,,2021-01-18,2023-10-30,14,True,Final corrected ordinary lineage with TNout_lag1/TNout_roll7/TNout_roll14.
ElasticNet,3,ordinary_submitted_non_v2,submitted_main_linear_features_H3_18col,18,TNout_lag1,TNout_roll14; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll7; Inflow_roll7; TNin_roll7; TOCin_roll7; precip_sum3; temp_roll7,True,revision_2026/04_controlled_reruns/elasticnet/run_corrected_elasticnet.py; src/build_ulsan_npz.py,derived_in_run_from_canonical_dataset,,2021-01-18,2023-10-28,14,True,Final corrected ordinary lineage with TNout_lag1/TNout_roll7/TNout_roll14.
ElasticNet,5,ordinary_submitted_non_v2,submitted_main_linear_features_H5_18col,18,TNout_lag1,TNout_roll14; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll7; Inflow_roll7; TNin_roll7; TOCin_roll7; precip_sum3; temp_roll7,True,revision_2026/04_controlled_reruns/elasticnet/run_corrected_elasticnet.py; src/build_ulsan_npz.py,derived_in_run_from_canonical_dataset,,2021-01-18,2023-10-26,14,True,Final corrected ordinary lineage with TNout_lag1/TNout_roll7/TNout_roll14.
HGBR,1,ordinary_npz,hgbr_npz_ordinary_H1_18col,18,TNout_lag1,TNout_roll14; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll7; Inflow_roll7; TNin_roll7; TOCin_roll7; precip_sum3; temp_roll7,True,revision_2026/04_controlled_reruns/hgbr/run_corrected_hgbr.py; src/build_ulsan_npz.py,features/ulsan_H1_features.npz,311a610eaaca278b0eb0cb53051cc10b3016716f5630ee4d04c38730eb2cf435,2021-01-18,2023-10-30,14,True,Final corrected HGBR H1 uses ordinary non-v2 NPZ lineage.
HGBR,3,ordinary_npz,hgbr_npz_ordinary_H3_18col,18,TNout_lag1,TNout_roll14; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll7; Inflow_roll7; TNin_roll7; TOCin_roll7; precip_sum3; temp_roll7,True,revision_2026/04_controlled_reruns/hgbr/run_corrected_hgbr.py; src/build_ulsan_npz.py,features/ulsan_H3_features.npz,df97bac6581c4859f2cb37640f3d14c153a87eb078db978b890c0448f7e0dea8,2021-01-18,2023-10-28,14,True,Final corrected HGBR H3 uses ordinary non-v2 NPZ lineage.
HGBR,3,v2_artifact_exists_not_used,ulsan_H3_features_v2_npz_34col,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7,TNout_roll14; TNout_roll30; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll14; BODin_roll7; C_N_roll14; Inflow_roll14; Inflow_roll7; TNin_roll14; TNin_roll7; TOCin_roll14; TOCin_roll7; precip_sum14; precip_sum3; precip_sum7; temp_roll14; temp_roll30; temp_roll7,True,src/build_ulsan_npz_v2.py,features/ulsan_H3_features_v2.npz,2a38da9458abc3732efe46a6417dabc7a1145cffb262b05e83f34ad2951712f3,2021-02-03,2023-10-28,30,False,Artifact exists but final corrected H3 runners/manifests reference ordinary H3 feature lineage.
HGBR,5,v2_npz,hgbr_npz_v2_H5_34col,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7,TNout_roll14; TNout_roll30; TNout_roll7,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,BODin_roll14; BODin_roll7; C_N_roll14; Inflow_roll14; Inflow_roll7; TNin_roll14; TNin_roll7; TOCin_roll14; TOCin_roll7; precip_sum14; precip_sum3; precip_sum7; temp_roll14; temp_roll30; temp_roll7,True,revision_2026/04_controlled_reruns/hgbr/run_corrected_hgbr.py; src/build_ulsan_npz_v2.py,features/ulsan_H5_features_v2.npz,ea1cbacf7ac204c0cb60f880d9dec2ba10c5a9b509bead0785b726f54ae46066,2021-02-03,2023-10-26,30,True,Final corrected HGBR H5 uses v2 lineage; LONG is the corrected TN-memory reference.
Persistence,1,direct_naive_context_only,none_naive_lag_h,0,,,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,,True,revision_2026/04_controlled_reruns/persistence/run_corrected_persistence.py,revision_2026/04_controlled_reruns/persistence/persistence_predictions.csv,383014421fa4419e7ba626a9a0e0df61f1b302431bb546c9049ce9f8a4b51754,2021-01-18,2023-10-30,0,True,Persistence has no adjustable TNout-memory feature set in Stage 2.
Persistence,3,direct_naive_context_only,none_naive_lag_h,0,,,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False,,True,revision_2026/04_controlled_reruns/persistence/run_corrected_persistence.py,revision_2026/04_controlled_reruns/persistence/persistence_predictions.csv,383014421fa4419e7ba626a9a0e0df61f1b302431bb546c9049ce9f8a4b51754,2021-02-03,2023-10-28,0,True,Persistence has no adjustable TNout-memory feature set in Stage 2.
