configuration_id,configuration_label,horizon,outer_fold,canonical_outer_train_rows,available_outer_train_rows,outer_train_rows_lost_warmup,canonical_inner_train_rows,available_inner_train_rows,inner_train_rows_lost_warmup,canonical_inner_validation_rows,available_inner_validation_rows,inner_validation_rows_lost_warmup,canonical_outer_test_rows,available_outer_test_rows,outer_test_rows_lost_warmup,earliest_available_feature_date,latest_available_feature_date
LONG,LONG,1,1,253,237,16,214,198,16,38,38,0,254,254,0,2021-02-03,2022-06-09
LONG,LONG,1,2,507,491,16,429,413,16,77,77,0,254,254,0,2021-02-03,2023-02-18
LONG,LONG,1,3,761,745,16,645,629,16,115,115,0,254,254,0,2021-02-03,2023-10-30
LONG,LONG,1,pooled,1521,1473,48,1288,1240,48,230,230,0,762,762,0,2021-02-03,2023-10-30
LONG,LONG,3,1,248,248,0,207,207,0,38,38,0,249,249,0,2021-02-03,2022-06-17
LONG,LONG,3,2,497,497,0,419,419,0,75,75,0,249,249,0,2021-02-03,2023-02-21
LONG,LONG,3,3,746,746,0,631,631,0,112,112,0,249,249,0,2021-02-03,2023-10-28
LONG,LONG,3,pooled,1491,1491,0,1257,1257,0,225,225,0,747,747,0,2021-02-03,2023-10-28
LONG,LONG,5,1,244,244,0,202,202,0,37,37,0,249,249,0,2021-02-03,2022-06-15
LONG,LONG,5,2,493,493,0,414,414,0,74,74,0,249,249,0,2021-02-03,2023-02-19
LONG,LONG,5,3,742,742,0,625,625,0,112,112,0,249,249,0,2021-02-03,2023-10-26
LONG,LONG,5,pooled,1479,1479,0,1241,1241,0,223,223,0,747,747,0,2021-02-03,2023-10-26
REFERENCE,REFERENCE,1,1,253,253,0,214,214,0,38,38,0,254,254,0,2021-01-18,2022-06-09
REFERENCE,REFERENCE,1,2,507,507,0,429,429,0,77,77,0,254,254,0,2021-01-18,2023-02-18
REFERENCE,REFERENCE,1,3,761,761,0,645,645,0,115,115,0,254,254,0,2021-01-18,2023-10-30
REFERENCE,REFERENCE,1,pooled,1521,1521,0,1288,1288,0,230,230,0,762,762,0,2021-01-18,2023-10-30
REFERENCE,REFERENCE,3,1,248,248,0,207,207,0,38,38,0,249,249,0,2021-01-18,2022-06-17
REFERENCE,REFERENCE,3,2,497,497,0,419,419,0,75,75,0,249,249,0,2021-01-18,2023-02-21
REFERENCE,REFERENCE,3,3,746,746,0,631,631,0,112,112,0,249,249,0,2021-01-18,2023-10-28
REFERENCE,REFERENCE,3,pooled,1491,1491,0,1257,1257,0,225,225,0,747,747,0,2021-01-18,2023-10-28
REFERENCE,REFERENCE,5,1,244,244,0,202,202,0,37,37,0,249,249,0,2021-01-18,2022-06-15
REFERENCE,REFERENCE,5,2,493,493,0,414,414,0,74,74,0,249,249,0,2021-01-18,2023-02-19
REFERENCE,REFERENCE,5,3,742,742,0,625,625,0,112,112,0,249,249,0,2021-01-18,2023-10-26
REFERENCE,REFERENCE,5,pooled,1479,1479,0,1241,1241,0,223,223,0,747,747,0,2021-01-18,2023-10-26
SHORT,SHORT,1,1,253,253,0,214,214,0,38,38,0,254,254,0,2021-01-11,2022-06-09
SHORT,SHORT,1,2,507,507,0,429,429,0,77,77,0,254,254,0,2021-01-11,2023-02-18
SHORT,SHORT,1,3,761,761,0,645,645,0,115,115,0,254,254,0,2021-01-11,2023-10-30
SHORT,SHORT,1,pooled,1521,1521,0,1288,1288,0,230,230,0,762,762,0,2021-01-11,2023-10-30
SHORT,SHORT,3,1,248,248,0,207,207,0,38,38,0,249,249,0,2021-01-11,2022-06-17
SHORT,SHORT,3,2,497,497,0,419,419,0,75,75,0,249,249,0,2021-01-11,2023-02-21
SHORT,SHORT,3,3,746,746,0,631,631,0,112,112,0,249,249,0,2021-01-11,2023-10-28
SHORT,SHORT,3,pooled,1491,1491,0,1257,1257,0,225,225,0,747,747,0,2021-01-11,2023-10-28
SHORT,SHORT,5,1,244,244,0,202,202,0,37,37,0,249,249,0,2021-01-11,2022-06-15
SHORT,SHORT,5,2,493,493,0,414,414,0,74,74,0,249,249,0,2021-01-11,2023-02-19
SHORT,SHORT,5,3,742,742,0,625,625,0,112,112,0,249,249,0,2021-01-11,2023-10-26
SHORT,SHORT,5,pooled,1479,1479,0,1241,1241,0,223,223,0,747,747,0,2021-01-11,2023-10-26
