model,horizon,configuration_id,outer_fold,tau,budget_fraction,N,k,event_count,true_positives,false_positives,false_negatives,recall,precision,tie_break_rule,retrospective_only,diagnostic_label
HGBR,1,LONG,1,16.0,0.05,254,13,34,1,12,33,0.029411764705882353,0.07692307692307693,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,LONG,2,16.0,0.05,254,13,6,0,13,6,0.0,0.0,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,LONG,3,16.0,0.05,254,13,34,7,6,27,0.20588235294117646,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,REFERENCE,1,16.0,0.05,254,13,34,3,10,31,0.08823529411764706,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,REFERENCE,2,16.0,0.05,254,13,6,2,11,4,0.3333333333333333,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,REFERENCE,3,16.0,0.05,254,13,34,7,6,27,0.20588235294117646,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,SHORT,1,16.0,0.05,254,13,34,3,10,31,0.08823529411764706,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,SHORT,2,16.0,0.05,254,13,6,2,11,4,0.3333333333333333,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,SHORT,3,16.0,0.05,254,13,34,8,5,26,0.23529411764705882,0.6153846153846154,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,3,LONG,1,16.0,0.05,249,13,31,2,11,29,0.06451612903225806,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
