model,horizon,configuration_id,outer_fold,tau,budget_fraction,N,k,event_count,true_positives,false_positives,false_negatives,recall,precision,tie_break_rule,retrospective_only,diagnostic_label
HGBR,1,LONG,pooled,16.0,0.05,762,39,74,8,31,66,0.10810810810810811,0.20512820512820512,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,REFERENCE,pooled,16.0,0.05,762,39,74,12,27,62,0.16216216216216217,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,1,SHORT,pooled,16.0,0.05,762,39,74,13,26,61,0.17567567567567569,0.3333333333333333,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,3,LONG,pooled,16.0,0.05,747,39,71,10,29,61,0.14084507042253522,0.2564102564102564,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,3,REFERENCE,pooled,16.0,0.05,747,39,71,11,28,60,0.15492957746478872,0.28205128205128205,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,3,SHORT,pooled,16.0,0.05,747,39,71,5,34,66,0.07042253521126761,0.1282051282051282,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,5,LONG,pooled,16.0,0.05,747,39,71,10,29,61,0.14084507042253522,0.2564102564102564,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,5,REFERENCE,pooled,16.0,0.05,747,39,71,12,27,59,0.16901408450704225,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
HGBR,5,SHORT,pooled,16.0,0.05,747,39,71,10,29,61,0.14084507042253522,0.2564102564102564,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,LONG,pooled,16.0,0.05,762,39,74,12,27,62,0.16216216216216217,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,REFERENCE,pooled,16.0,0.05,762,39,74,12,27,62,0.16216216216216217,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,SHORT,pooled,16.0,0.05,762,39,74,13,26,61,0.17567567567567569,0.3333333333333333,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,LONG,pooled,16.0,0.05,747,39,71,12,27,59,0.16901408450704225,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,REFERENCE,pooled,16.0,0.05,747,39,71,13,26,58,0.18309859154929578,0.3333333333333333,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,SHORT,pooled,16.0,0.05,747,39,71,12,27,59,0.16901408450704225,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,LONG,pooled,16.0,0.05,747,39,71,10,29,61,0.14084507042253522,0.2564102564102564,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,REFERENCE,pooled,16.0,0.05,747,39,71,13,26,58,0.18309859154929578,0.3333333333333333,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,SHORT,pooled,16.0,0.05,747,39,71,12,27,59,0.16901408450704225,0.3076923076923077,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
