model,horizon,configuration_id,final_reference_configuration,is_final_reference,mae_difference_vs_reference,mae_percent_difference_vs_reference,rmse_difference_vs_reference,rmse_percent_difference_vs_reference,mase_difference_vs_reference,pearson_correlation_vs_reference,spearman_correlation_vs_reference,recall5_difference_vs_reference,training_row_difference_vs_reference,feature_count_difference_vs_reference,interpretation_classification,narrative_scope
HGBR,1,LONG,REFERENCE,False,-0.043462379121083305,-2.610481065095435,-0.0382987189938393,-1.8360345840786045,-0.03273311222166542,0.918324619722347,0.9217302099849267,-0.05405405405405406,-48,4,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,1,REFERENCE,REFERENCE,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,1,SHORT,REFERENCE,False,0.004900776782592153,0.2943553770854242,0.008180876717284846,0.39218994722603095,0.003422676704527783,0.9831702664347721,0.983665919476959,0.013513513513513514,0,-1,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,3,LONG,REFERENCE,False,0.05827860288580111,3.3044495911274603,0.035911109186173906,1.5913405463822754,0.048241838261425585,0.8975987979825292,0.9016343686754866,-0.014084507042253502,0,4,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,3,REFERENCE,REFERENCE,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,3,SHORT,REFERENCE,False,0.06450691107176065,3.657600308876121,0.05429394986257963,2.4059452853891283,0.05207760243333781,0.9130584658894286,0.9158042172245091,-0.08450704225352111,0,-1,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,5,LONG,LONG,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,5,REFERENCE,LONG,False,-0.015792072366118015,-0.8738460824543893,-0.015915856990335264,-0.6954225194693728,-0.012327562442836282,0.9758154019249531,0.977019594507718,0.028169014084507032,0,-4,not_preclassified,quantitative_sensitivity_evidence_only
HGBR,5,SHORT,LONG,False,-0.0046909315615000224,-0.25957024974589155,-0.013360780632275304,-0.5837818054671257,-0.0027020816082548027,0.960172591694624,0.9632993602794969,0.0,0,-5,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,1,LONG,REFERENCE,False,0.00625420248736952,0.40125119979014895,0.012578271806203078,0.6423445130792395,0.005323299820940708,0.9901931699844246,0.9885713450365594,0.0,-48,4,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,1,REFERENCE,REFERENCE,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,1,SHORT,REFERENCE,False,0.003170775438752882,0.20342760753815026,0.002306834565689808,0.11780493764824079,0.002507411631221368,0.998734429735546,0.9985892642152447,0.013513513513513514,0,-1,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,3,LONG,REFERENCE,False,-0.016789650576729098,-0.9340535233952106,-0.010982737404672704,-0.4870693194614405,-0.014285621808450166,0.9903505682111053,0.9881650730173349,-0.01408450704225353,0,4,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,3,REFERENCE,REFERENCE,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,3,SHORT,REFERENCE,False,-0.005082144635761177,-0.2827334066151596,-0.014744220326138091,-0.6538859207528901,-0.0044635964744679235,0.9742745129240603,0.9796979778729835,-0.01408450704225353,0,-1,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,5,LONG,REFERENCE,False,-0.011298883683313221,-0.6372071583833506,-0.02125746035050824,-0.939847554813706,-0.009581855039748177,0.9805294957646201,0.9790319541128486,-0.04225352112676056,0,4,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,5,REFERENCE,REFERENCE,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,not_preclassified,quantitative_sensitivity_evidence_only
Ridge,5,SHORT,REFERENCE,False,-0.010705283289536904,-0.6037307167511512,-0.015085042716538766,-0.6669489335804074,-0.009185836712364503,0.9955891760545962,0.9953857378734304,-0.01408450704225353,0,-1,not_preclassified,quantitative_sensitivity_evidence_only
