model,horizon,outer_fold,configuration_id,hyperparameter_source_file,hyperparameter_dict_json,hyperparameter_hash,random_seed,training_row_count,feature_count,feature_names,feature_set_hash,software_versions,fit_status,prediction_status
HGBR,1,1,LONG,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.054681067299254336, ""learning_rate"": 0.046947572953602766, ""max_bins"": 166, ""max_iter"": 760, ""max_leaf_nodes"": 214, ""min_samples_leaf"": 50, ""random_state"": 42, ""validation_fraction"": 0.1}",d180474f6f434b8bd98f59f46a9ddb99d7b9c97741dc94fe87a4c58e3ad8b221,42,237,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,2,LONG,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.0009006033354946961, ""learning_rate"": 0.0179994930908516, ""max_bins"": 200, ""max_iter"": 1160, ""max_leaf_nodes"": 101, ""min_samples_leaf"": 43, ""random_state"": 42, ""validation_fraction"": 0.1}",b8597243e20d9993d1bb8752d680c1d7005a7b51804d0c73ad6b52f5a1dc9395,42,491,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,3,LONG,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.003480626847816081, ""learning_rate"": 0.08365972416659709, ""max_bins"": 166, ""max_iter"": 232, ""max_leaf_nodes"": 203, ""min_samples_leaf"": 29, ""random_state"": 42, ""validation_fraction"": 0.1}",38a2f3fa8b54b3019e26b02fbb1868c244d7ec4e6f5b550f1d9c45ac08b279af,42,745,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,1,REFERENCE,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.054681067299254336, ""learning_rate"": 0.046947572953602766, ""max_bins"": 166, ""max_iter"": 760, ""max_leaf_nodes"": 214, ""min_samples_leaf"": 50, ""random_state"": 42, ""validation_fraction"": 0.1}",d180474f6f434b8bd98f59f46a9ddb99d7b9c97741dc94fe87a4c58e3ad8b221,42,253,18,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,2,REFERENCE,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.0009006033354946961, ""learning_rate"": 0.0179994930908516, ""max_bins"": 200, ""max_iter"": 1160, ""max_leaf_nodes"": 101, ""min_samples_leaf"": 43, ""random_state"": 42, ""validation_fraction"": 0.1}",b8597243e20d9993d1bb8752d680c1d7005a7b51804d0c73ad6b52f5a1dc9395,42,507,18,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,3,REFERENCE,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.003480626847816081, ""learning_rate"": 0.08365972416659709, ""max_bins"": 166, ""max_iter"": 232, ""max_leaf_nodes"": 203, ""min_samples_leaf"": 29, ""random_state"": 42, ""validation_fraction"": 0.1}",38a2f3fa8b54b3019e26b02fbb1868c244d7ec4e6f5b550f1d9c45ac08b279af,42,761,18,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,1,SHORT,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.054681067299254336, ""learning_rate"": 0.046947572953602766, ""max_bins"": 166, ""max_iter"": 760, ""max_leaf_nodes"": 214, ""min_samples_leaf"": 50, ""random_state"": 42, ""validation_fraction"": 0.1}",d180474f6f434b8bd98f59f46a9ddb99d7b9c97741dc94fe87a4c58e3ad8b221,42,253,17,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,2,SHORT,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.0009006033354946961, ""learning_rate"": 0.0179994930908516, ""max_bins"": 200, ""max_iter"": 1160, ""max_leaf_nodes"": 101, ""min_samples_leaf"": 43, ""random_state"": 42, ""validation_fraction"": 0.1}",b8597243e20d9993d1bb8752d680c1d7005a7b51804d0c73ad6b52f5a1dc9395,42,507,17,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,1,3,SHORT,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 0.003480626847816081, ""learning_rate"": 0.08365972416659709, ""max_bins"": 166, ""max_iter"": 232, ""max_leaf_nodes"": 203, ""min_samples_leaf"": 29, ""random_state"": 42, ""validation_fraction"": 0.1}",38a2f3fa8b54b3019e26b02fbb1868c244d7ec4e6f5b550f1d9c45ac08b279af,42,761,17,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
HGBR,3,1,LONG,revision_2026/04_controlled_reruns/hgbr/hgbr_selected_configurations.csv,"{""early_stopping"": true, ""l2_regularization"": 1.4710330499612896, ""learning_rate"": 0.12857361342258908, ""max_bins"": 66, ""max_iter"": 697, ""max_leaf_nodes"": 117, ""min_samples_leaf"": 22, ""random_state"": 42, ""validation_fraction"": 0.1}",eccc3d5d0656200f5c2b5235a3dabcc7b79e6e795694f9720af9c6ed27506b4f,42,248,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"{""numpy"": ""1.24.4"", ""pandas"": ""2.0.3"", ""python"": ""3.8.10"", ""scikit_learn"": ""1.3.2"", ""scipy"": ""1.10.1""}",success,success
