model,horizon,configuration_id,outer_fold,N,MAE,MSE,RMSE,MASE,mase_denominator,mase_denominator_source,mase_method,epsilon_or_stabilizer,training_rows_used_for_denominator
HGBR,1,LONG,1,254,1.6579855605342666,4.453438576768376,2.1103171744475704,1.4330144457345826,1.1569915181499417,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,237
HGBR,1,LONG,2,254,1.3789122279495507,3.1399299463633477,1.7719847477795478,1.10255375737485,1.2506530567091338,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,491
HGBR,1,LONG,3,254,1.827470221265373,4.985229063714783,2.2327626527946904,1.3613395128065109,1.342405919105776,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,745
HGBR,1,REFERENCE,1,254,1.6052541475952888,4.153340616949277,2.037974635992626,1.3833665663643653,1.1603968067774697,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253
HGBR,1,REFERENCE,2,254,1.5127763766381042,3.682705538474513,1.919037659472714,1.210814552979168,1.2493873415257148,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507
HGBR,1,REFERENCE,3,254,1.876724622879048,5.217485777248212,2.2841816427876775,1.4009259332374069,1.339631580051623,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761
HGBR,1,SHORT,1,254,1.609394981813215,4.219939923837147,2.0542492360561186,1.3869350303502817,1.1603968067774697,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253
HGBR,1,SHORT,2,254,1.4908114265137333,3.5801757508024097,1.8921352358651349,1.19323397618225,1.2493873415257148,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507
HGBR,1,SHORT,3,254,1.9092510691332694,5.356006318259799,2.3143047159481394,1.425206076161992,1.339631580051623,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761
HGBR,3,LONG,1,249,1.8611855300581746,5.519275703263641,2.349313879255737,1.6133105013938192,1.1536437200631207,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248
HGBR,3,LONG,2,249,1.599546107403182,4.1765845152786225,2.043669375236274,1.2715155955798858,1.2579838671991903,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497
HGBR,3,LONG,3,249,2.0050249080970537,6.071755200147088,2.4640931800861523,1.492072425936709,1.3437852424263155,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746
HGBR,3,REFERENCE,1,249,1.7642511153781486,5.2924926482509544,2.3005418162361133,1.5292859339210316,1.1536437200631207,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248
HGBR,3,REFERENCE,2,249,1.5457726559800462,3.948153016720655,1.9869959780333364,1.2287698555251163,1.2579838671991903,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497
HGBR,3,REFERENCE,3,249,1.9808969655428126,6.036866441181447,2.45700354928141,1.4741172186799893,1.3437852424263155,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746
HGBR,3,SHORT,1,249,1.8303590446430087,5.358602541936992,2.3148655559096714,1.58658952605946,1.1536437200631207,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248
HGBR,3,SHORT,2,249,1.6268045130762483,4.4209198832720284,2.102598364707827,1.2931839224655768,1.2579838671991903,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497
HGBR,3,SHORT,3,249,2.0272779123970324,6.241970344404566,2.4983935527463577,1.5086323669011141,1.3437852424263155,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746
HGBR,5,LONG,1,249,1.937143353772785,6.01259171245049,2.4520586682317553,1.6693589450503736,1.1604115207499437,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244
HGBR,5,LONG,2,249,1.4645810960265646,3.577369611210423,1.8913935632782573,1.162028542716126,1.260365852495519,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493
HGBR,5,LONG,3,249,2.019850132910628,6.1239323767445075,2.4746580322833513,1.5021165589638088,1.3446693729292527,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742
HGBR,5,REFERENCE,1,249,1.9253674035667072,5.966144292793759,2.442569199182238,1.6592108639727925,1.1604115207499437,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244
HGBR,5,REFERENCE,2,249,1.4573540100853106,3.570277235192711,1.8895177255566329,1.1562944251809595,1.260365852495519,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493
HGBR,5,REFERENCE,3,249,1.9914769519596056,5.959676204973964,2.441244806440756,1.4810160702480484,1.3446693729292527,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742
HGBR,5,SHORT,1,249,1.9549168864487165,6.066640778720476,2.463055171676119,1.6846755222669878,1.1604115207499437,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244
HGBR,5,SHORT,2,249,1.4698193331853042,3.623956015990006,1.9036690930910252,1.166184667022582,1.260365852495519,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493
HGBR,5,SHORT,3,249,1.982765568391457,5.840362732365427,2.4166842434139855,1.4745376126159742,1.3446693729292527,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742
Ridge,1,LONG,1,254,1.5987488505661256,4.0366408555288125,2.009139332034693,1.381815522459246,1.1569915254237289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,237
Ridge,1,LONG,2,254,1.3635239070161067,3.06982407776528,1.752091344013,1.0902495249888546,1.25065306122449,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,491
Ridge,1,LONG,3,254,1.7325151108438934,4.545218009608919,2.1319516902615123,1.2906044971290582,1.3424059139784945,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,745
Ridge,1,REFERENCE,1,254,1.5860623448409408,3.9354233847584643,1.9837901564324953,1.3668275444753317,1.1603968253968253,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253
Ridge,1,REFERENCE,2,254,1.3593775618568986,3.072284891843872,1.752793453845567,1.088035314935454,1.2493873517786562,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507
Ridge,1,REFERENCE,3,254,1.7305853542661773,4.495716788097222,2.12031054048628,1.2918367857035502,1.3396315789473685,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761
Ridge,1,SHORT,1,254,1.5884542942328344,3.9350887895328284,1.9837058223266948,1.3688888646526034,1.1603968253968253,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253
Ridge,1,SHORT,2,254,1.3620805214002423,3.078990741666628,1.7547053147655955,1.0901987429046363,1.2493873517786562,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507
Ridge,1,SHORT,3,254,1.7350027716471987,4.516464703407009,2.125197568087967,1.295134272450761,1.3396315789473685,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761
