model,horizon,configuration_id,outer_fold,N,MAE,MSE,RMSE,MASE,mase_denominator,mase_denominator_source,mase_method,epsilon_or_stabilizer,training_rows_used_for_denominator
HGBR,1,LONG,pooled,762,1.6214560032497305,4.1928658622821695,2.0476488620567173,1.298969238638648,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1473
HGBR,1,REFERENCE,pooled,762,1.6649183823708138,4.351177310890668,2.0859475810505566,1.3317023508603134,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1521
HGBR,1,SHORT,pooled,762,1.669819159153406,4.385373997633119,2.0941284577678414,1.3351250275648412,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1521
HGBR,3,LONG,pooled,747,1.82191884851947,5.2558718062297825,2.2925688225721346,1.4589661743034714,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1491
HGBR,3,REFERENCE,pooled,747,1.7636402456336688,5.092504035384352,2.2566577133859607,1.4107243360420458,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1491
HGBR,3,SHORT,pooled,747,1.8281471567054295,5.340497589871195,2.3109516632485403,1.4628019384753836,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1491
HGBR,5,LONG,pooled,747,1.8071915275699926,5.237964566801806,2.2886599937085035,1.444501348910103,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1479
HGBR,5,REFERENCE,pooled,747,1.7913994552038746,5.165365910986811,2.272744136718168,1.4321737864672668,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1479
HGBR,5,SHORT,pooled,747,1.8025005960084926,5.176986509025303,2.275299213076228,1.4417992673018483,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1479
Ridge,1,LONG,pooled,762,1.564929289475375,3.8838943143010036,1.970759831714916,1.2542231815257197,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1473
Ridge,1,REFERENCE,pooled,762,1.5586750869880055,3.83447502156652,1.958181559908713,1.248899881704779,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1521
Ridge,1,SHORT,pooled,762,1.5618458624267584,3.8435147448688216,1.9604883944744027,1.2514072933360003,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1521
Ridge,3,LONG,pooled,747,1.7807144705682827,5.034990834107234,2.2438785248108317,1.4309937435018585,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1491
Ridge,3,REFERENCE,pooled,747,1.7975041211450118,5.084399311840097,2.2548612622155044,1.4452793653103087,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1491
Ridge,3,SHORT,pooled,747,1.7924219765092506,5.0181243613631645,2.2401170418893663,1.4408157688358407,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1491
Ridge,5,LONG,pooled,747,1.761889558201028,5.020025320127353,2.2405413006966315,1.4088183479998744,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1479
Ridge,5,REFERENCE,pooled,747,1.7731884418843413,5.115733635474376,2.2617987610471397,1.4184002030396226,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1479
Ridge,5,SHORT,pooled,747,1.7624831585948044,5.047722532134914,2.246713718330601,1.409214366327258,rowwise_fold_local,fold_local_training_denominator_per_row,mean(abs_error/(row_fold_denominator+epsilon)),1e-09,1479
