model,horizon,outer_fold,configuration_id,feature_count,tnout_features,non_tnout_features,feature_names,feature_hash,tnout_roll_rule,tnout_roll_includes_day_t
HGBR,1,1,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,2,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,3,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,1,REFERENCE,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,2,REFERENCE,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,3,REFERENCE,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,1,SHORT,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,2,SHORT,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,1,3,SHORT,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,1,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,2,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,3,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
