model,horizon,outer_fold,configuration_id,available_pre_purge_rows,purged_rows,available_post_purge_rows,warmup_losses,final_fitting_rows,canonical_test_rows,earliest_fitting_feature_date,latest_fitting_feature_date,earliest_test_feature_date,latest_test_feature_date,feature_count,tnout_features,non_tnout_features,feature_hash,warmup_losses_observed,warmup_losses_expected,final_fitting_rows_observed,final_fitting_rows_expected,canonical_test_rows_observed,canonical_test_rows_expected,reconciliation_pass
HGBR,1,1,LONG,254,1,253,16,237,254,2021-02-03,2021-09-27,2021-09-29,2022-06-09,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,16,16,237,237,254,254,True
HGBR,1,2,LONG,508,1,507,16,491,254,2021-02-03,2022-06-08,2022-06-10,2023-02-18,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,16,16,491,491,254,254,True
HGBR,1,3,LONG,762,1,761,16,745,254,2021-02-03,2023-02-17,2023-02-19,2023-10-30,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,16,16,745,745,254,254,True
HGBR,1,1,REFERENCE,254,1,253,0,253,254,2021-01-18,2021-09-27,2021-09-29,2022-06-09,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,0,0,253,253,254,254,True
HGBR,1,2,REFERENCE,508,1,507,0,507,254,2021-01-18,2022-06-08,2022-06-10,2023-02-18,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,0,0,507,507,254,254,True
HGBR,1,3,REFERENCE,762,1,761,0,761,254,2021-01-18,2023-02-17,2023-02-19,2023-10-30,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,0,0,761,761,254,254,True
HGBR,1,1,SHORT,254,1,253,0,253,254,2021-01-18,2021-09-27,2021-09-29,2022-06-09,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,253,253,254,254,True
HGBR,1,2,SHORT,508,1,507,0,507,254,2021-01-18,2022-06-08,2022-06-10,2023-02-18,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,507,507,254,254,True
HGBR,1,3,SHORT,762,1,761,0,761,254,2021-01-18,2023-02-17,2023-02-19,2023-10-30,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,761,761,254,254,True
HGBR,3,1,LONG,251,3,248,0,248,249,2021-02-03,2021-10-08,2021-10-12,2022-06-17,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,0,0,248,248,249,249,True
HGBR,3,2,LONG,500,3,497,0,497,249,2021-02-03,2022-06-14,2022-06-18,2023-02-21,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,0,0,497,497,249,249,True
HGBR,3,3,LONG,749,3,746,0,746,249,2021-02-03,2023-02-18,2023-02-22,2023-10-28,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,0,0,746,746,249,249,True
HGBR,3,1,REFERENCE,251,3,248,0,248,249,2021-02-03,2021-10-08,2021-10-12,2022-06-17,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,0,0,248,248,249,249,True
HGBR,3,2,REFERENCE,500,3,497,0,497,249,2021-02-03,2022-06-14,2022-06-18,2023-02-21,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,0,0,497,497,249,249,True
HGBR,3,3,REFERENCE,749,3,746,0,746,249,2021-02-03,2023-02-18,2023-02-22,2023-10-28,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,0,0,746,746,249,249,True
HGBR,3,1,SHORT,251,3,248,0,248,249,2021-02-03,2021-10-08,2021-10-12,2022-06-17,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,248,248,249,249,True
HGBR,3,2,SHORT,500,3,497,0,497,249,2021-02-03,2022-06-14,2022-06-18,2023-02-21,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,497,497,249,249,True
HGBR,3,3,SHORT,749,3,746,0,746,249,2021-02-03,2023-02-18,2023-02-22,2023-10-28,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,746,746,249,249,True
