model,horizon,configuration_id,outer_fold,reference_source,row_count_generated,row_count_reference,keys_match,y_true_match,maximum_absolute_prediction_difference,mean_absolute_prediction_difference,number_outside_tolerance,tolerance,status
HGBR,1,REFERENCE,1,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,254,254,True,True,1.2264588278299016e-07,3.6779686949582864e-08,0,1e-06,pass
HGBR,1,REFERENCE,2,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,254,254,True,True,1.555278625886558e-07,4.293872577184094e-08,0,1e-06,pass
HGBR,1,REFERENCE,3,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,254,254,True,True,1.54487771908407e-07,4.0271350027238465e-08,0,1e-06,pass
HGBR,3,REFERENCE,1,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,249,249,True,True,1.006552139415362e-07,2.6765801633978958e-08,0,1e-06,pass
HGBR,3,REFERENCE,2,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,249,249,True,True,1.249036518657931e-07,3.775574377727369e-08,0,1e-06,pass
HGBR,3,REFERENCE,3,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,249,249,True,True,1.1091707996513378e-07,3.266186416732102e-08,0,1e-06,pass
HGBR,5,LONG,1,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,249,249,True,True,5.448474738045661e-08,2.085785780593825e-08,0,1e-06,pass
HGBR,5,LONG,2,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,249,249,True,True,4.979128398474586e-08,1.2457685146735943e-08,0,1e-06,pass
HGBR,5,LONG,3,revision_2026/04_controlled_reruns/hgbr/hgbr_predictions.csv,249,249,True,True,1.3558343603392586e-07,5.758625774001622e-08,0,1e-06,pass
Ridge,1,REFERENCE,1,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,254,254,True,True,1.7763568394002505e-15,4.3359891355439186e-16,0,1e-06,pass
Ridge,1,REFERENCE,2,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,254,254,True,True,1.7763568394002505e-15,5.17521283919758e-16,0,1e-06,pass
Ridge,1,REFERENCE,3,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,254,254,True,True,1.7763568394002505e-15,5.315083456473191e-16,0,1e-06,pass
Ridge,3,REFERENCE,1,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,249,249,True,True,1.7763568394002505e-15,5.065113879414369e-16,0,1e-06,pass
Ridge,3,REFERENCE,2,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,249,249,True,True,1.7763568394002505e-15,5.207793143623224e-16,0,1e-06,pass
Ridge,3,REFERENCE,3,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,249,249,True,True,1.7763568394002505e-15,4.423057190474519e-16,0,1e-06,pass
Ridge,5,REFERENCE,1,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,249,249,True,True,1.7763568394002505e-15,4.922434615205513e-16,0,1e-06,pass
Ridge,5,REFERENCE,2,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,249,249,True,True,1.7763568394002505e-15,5.065113879414369e-16,0,1e-06,pass
Ridge,5,REFERENCE,3,revision_2026/04_controlled_reruns/ridge/ridge_predictions.csv,249,249,True,True,1.7763568394002505e-15,4.1376986620568085e-16,0,1e-06,pass
