model,horizon_days,source_file,source_sha256,source_MAE,recomputed_MAE,abs_diff_MAE,source_MSE,recomputed_MSE,abs_diff_MSE,source_RMSE,recomputed_RMSE,abs_diff_RMSE,source_RMSE_equals_sqrt_source_MSE,source_MASE,weighted_fold_MASE,abs_diff_MASE_weighted,date_key_hash
ElasticNet,1,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,1.5824313701860826,1.5824313701860826,0.0,3.942231671688746,3.942231671688746,0.0,1.985505394525219,1.985505394525219,0.0,True,1.2672482350774492,1.2672482350774492,0.0,0bcbd3887834836264e8ba746e4034f04cb3bb3260594920abfb8a0fa467563d
HGBR,1,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,1.6649183736062991,1.6649183736062991,0.0,4.351177237744344,4.351177237744344,0.0,2.08594756351744,2.08594756351744,0.0,True,1.3317023337454248,1.331702333745425,2.220446049250313e-16,0bcbd3887834836264e8ba746e4034f04cb3bb3260594920abfb8a0fa467563d
Persistence,1,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,1.5460530815485565,1.5460530815485565,0.0,4.244749855878133,4.244749855878133,0.0,2.0602790723293127,2.0602790723293127,0.0,True,1.2326583186056683,1.2326583186056685,2.220446049250313e-16,0bcbd3887834836264e8ba746e4034f04cb3bb3260594920abfb8a0fa467563d
Ridge,1,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,1.558675086988006,1.558675086988006,0.0,3.83447502156652,3.83447502156652,0.0,1.958181559908713,1.958181559908713,0.0,True,1.248899881704779,1.248899881704779,0.0,0bcbd3887834836264e8ba746e4034f04cb3bb3260594920abfb8a0fa467563d
ElasticNet,3,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,1.776871067565453,1.7768710675654533,2.220446049250313e-16,4.9914934892107095,4.9914934892107095,0.0,2.2341650541557376,2.2341650541557376,0.0,True,1.4279953850177276,1.4279953850177276,0.0,b7273d7c4ca9833d7908f9b4dd6f674ea5bca5c8ea8353eeea92a93c95b4297d
HGBR,3,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,1.763640238285536,1.763640238285536,0.0,5.092503975146022,5.092503975146022,0.0,2.256657700039158,2.256657700039158,0.0,True,1.410724330361394,1.410724330361394,0.0,b7273d7c4ca9833d7908f9b4dd6f674ea5bca5c8ea8353eeea92a93c95b4297d
Persistence,3,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,2.025676317670683,2.025676317670683,0.0,6.752268131053822,6.752268131053822,0.0,2.598512676716014,2.598512676716014,0.0,True,1.6150044626281836,1.6150044626281836,0.0,b7273d7c4ca9833d7908f9b4dd6f674ea5bca5c8ea8353eeea92a93c95b4297d
Ridge,3,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,1.7975041211450118,1.7975041211450118,0.0,5.084399311840097,5.084399311840097,0.0,2.2548612622155044,2.2548612622155044,0.0,True,1.4452793653103089,1.4452793653103087,2.220446049250313e-16,b7273d7c4ca9833d7908f9b4dd6f674ea5bca5c8ea8353eeea92a93c95b4297d
BCR-TCN v1.1,5,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,12.595419934361056,12.59541993265332,1.7077361746942188e-09,163.488331647278,163.4883315454729,1.0180508525081677e-07,12.786255575706203,12.786255571725167,3.981035945344047e-09,True,10.423946201387531,10.42394620138753,1.7763568394002505e-15,700f482c6008c61aaabfde8c76e72dbc1dde9d62d16ccbb44be1ac5c9734b927
ElasticNet,5,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,1.787277086046654,1.787277086046654,0.0,5.167935931896362,5.167935931896362,0.0,2.2733094668118463,2.2733094668118463,0.0,True,1.431443597008108,1.4314435970081079,2.220446049250313e-16,700f482c6008c61aaabfde8c76e72dbc1dde9d62d16ccbb44be1ac5c9734b927
HGBR,5,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,1.8071915266682184,1.8071915266682184,0.0,5.237964521694242,5.237964521694242,0.0,2.288659983853924,2.2886599838539237,4.440892098500626e-16,True,1.4445013508814766,1.4445013508814764,2.220446049250313e-16,700f482c6008c61aaabfde8c76e72dbc1dde9d62d16ccbb44be1ac5c9734b927
Persistence,5,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,2.074511378848728,2.074511378848728,0.0,7.108238333434664,7.108238333434664,0.0,2.66612796644022,2.66612796644022,0.0,True,1.64992835286952,1.64992835286952,0.0,700f482c6008c61aaabfde8c76e72dbc1dde9d62d16ccbb44be1ac5c9734b927
Ridge,5,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,1.773188441884341,1.7731884418843413,2.220446049250313e-16,5.115733635474376,5.115733635474376,0.0,2.26179876104714,2.2617987610471397,4.440892098500626e-16,True,1.4184002030396226,1.4184002030396223,2.220446049250313e-16,700f482c6008c61aaabfde8c76e72dbc1dde9d62d16ccbb44be1ac5c9734b927
