model,threshold_mg_L,nominal_budget_fraction,pooled_n,pooled_K,sum_fold_local_k,pooled_k_matches_sum_fold_k,realized_alarm_fraction,pooled_K_over_pooled_n,realized_fraction_match,fold_local_k_rule,source_file,source_sha256
BCR-TCN v1.1,15,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,15,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,16,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,16,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,17,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,17,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,15,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,15,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,16,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,16,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,17,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,17,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,15,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,15,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,16,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,16,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,17,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,17,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Persistence,15,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Persistence,15,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Persistence,16,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Persistence,16,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Persistence,17,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Persistence,17,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Ridge,15,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Ridge,15,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Ridge,16,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Ridge,16,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Ridge,17,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
Ridge,17,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
fixed rank ensemble,15,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
fixed rank ensemble,15,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
fixed rank ensemble,16,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
fixed rank ensemble,16,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
fixed rank ensemble,17,0.05,747,39,39,True,0.0522088353413654,0.05220883534136546,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
fixed rank ensemble,17,0.1,747,75,75,True,0.1004016064257028,0.10040160642570281,True,ceil(r * 249) within each fold,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
