display_model_name,horizon_days,MAE_mg_L,RMSE_mg_L,MASE,canonical_test_n
ElasticNet,1,1.5824313701860826,1.985505394525219,1.2672482350774492,762
HGBR,1,1.6649183736062991,2.08594756351744,1.3317023337454248,762
Persistence,1,1.5460530815485565,2.0602790723293127,1.2326583186056683,762
Ridge,1,1.558675086988006,1.958181559908713,1.248899881704779,762
ElasticNet,3,1.776871067565453,2.2341650541557376,1.4279953850177276,747
HGBR,3,1.763640238285536,2.256657700039158,1.410724330361394,747
Persistence,3,2.025676317670683,2.598512676716014,1.6150044626281836,747
Ridge,3,1.7975041211450118,2.2548612622155044,1.4452793653103089,747
BCR-TCN v1.1,5,12.595419934361056,12.786255575706203,10.423946201387531,747
ElasticNet,5,1.787277086046654,2.2733094668118463,1.431443597008108,747
HGBR,5,1.8071915266682184,2.288659983853924,1.4445013508814766,747
Persistence,5,2.074511378848728,2.66612796644022,1.64992835286952,747
Ridge,5,1.773188441884341,2.26179876104714,1.4184002030396226,747
