model,threshold_mg_L,nominal_budget_fraction,recall,precision,realized_alarm_fraction,evaluation_type
BCR-TCN v1.1,15,0.05,0.1492537313432835,0.5128205128205128,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
BCR-TCN v1.1,15,0.1,0.2313432835820895,0.4133333333333333,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
BCR-TCN v1.1,16,0.05,0.028169014084507,0.0512820512820512,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
BCR-TCN v1.1,16,0.1,0.0845070422535211,0.08,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
ElasticNet,15,0.05,0.1417910447761194,0.4871794871794871,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
ElasticNet,15,0.1,0.2313432835820895,0.4133333333333333,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
ElasticNet,16,0.05,0.1549295774647887,0.282051282051282,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
ElasticNet,16,0.1,0.2816901408450704,0.2666666666666666,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
HGBR,15,0.05,0.1343283582089552,0.4615384615384615,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
HGBR,15,0.1,0.208955223880597,0.3733333333333333,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
HGBR,16,0.05,0.1408450704225352,0.2564102564102564,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
HGBR,16,0.1,0.2112676056338028,0.2,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
Persistence,15,0.05,0.1044776119402985,0.358974358974359,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
Persistence,15,0.1,0.2014925373134328,0.36,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
Persistence,16,0.05,0.1408450704225352,0.2564102564102564,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
Persistence,16,0.1,0.2535211267605634,0.24,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
Ridge,15,0.05,0.1567164179104477,0.5384615384615384,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
Ridge,15,0.1,0.2462686567164179,0.44,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
Ridge,16,0.05,0.1830985915492957,0.3333333333333333,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
Ridge,16,0.1,0.3098591549295774,0.2933333333333333,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
fixed rank ensemble,15,0.05,0.1567164179104477,0.5384615384615384,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
fixed rank ensemble,15,0.1,0.2238805970149253,0.4,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
fixed rank ensemble,16,0.05,0.1690140845070422,0.3076923076923077,0.0522088353413654,retrospective_offline_top_k_fold_local_budget
fixed rank ensemble,16,0.1,0.2957746478873239,0.28,0.1004016064257028,retrospective_offline_top_k_fold_local_budget
