model,threshold_mg_L,nominal_budget_fraction,evaluation_type,fold_n,k_per_fold,pooled_n,pooled_K,pooled_event_count,true_positives,false_positives,false_negatives,true_negatives,recall,precision,miss_rate,false_alarm_rate,realized_alarm_fraction,random_expected_recall,recall_enrichment_over_random,tie_break_rule,retrospective_only,source_file,source_sha256
BCR-TCN v1.1,15,0.05,retrospective_offline_top_k_fold_local_budget,3,13,747,39,134,20,19,114,594,0.1492537313432835,0.5128205128205128,0.8507462686567164,0.030995106035889,0.0522088353413654,0.0522088353413654,2.858783008036739,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,15,0.1,retrospective_offline_top_k_fold_local_budget,3,25,747,75,134,31,44,103,569,0.2313432835820895,0.4133333333333333,0.7686567164179104,0.0717781402936378,0.1004016064257028,0.1004016064257028,2.304179104477612,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,16,0.05,retrospective_offline_top_k_fold_local_budget,3,13,747,39,71,2,37,69,639,0.028169014084507,0.0512820512820512,0.971830985915493,0.0547337278106508,0.0522088353413654,0.0522088353413654,0.5395449620801734,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
BCR-TCN v1.1,16,0.1,retrospective_offline_top_k_fold_local_budget,3,25,747,75,71,6,69,65,607,0.0845070422535211,0.08,0.9154929577464788,0.1020710059171597,0.1004016064257028,0.1004016064257028,0.8416901408450704,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,15,0.05,retrospective_offline_top_k_fold_local_budget,3,13,747,39,134,19,20,115,593,0.1417910447761194,0.4871794871794871,0.8582089552238806,0.032626427406199,0.0522088353413654,0.0522088353413654,2.715843857634902,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,15,0.1,retrospective_offline_top_k_fold_local_budget,3,25,747,75,134,31,44,103,569,0.2313432835820895,0.4133333333333333,0.7686567164179104,0.0717781402936378,0.1004016064257028,0.1004016064257028,2.304179104477612,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,16,0.05,retrospective_offline_top_k_fold_local_budget,3,13,747,39,71,11,28,60,648,0.1549295774647887,0.282051282051282,0.8450704225352113,0.0414201183431952,0.0522088353413654,0.0522088353413654,2.9674972914409534,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
ElasticNet,16,0.1,retrospective_offline_top_k_fold_local_budget,3,25,747,75,71,20,55,51,621,0.2816901408450704,0.2666666666666666,0.7183098591549296,0.0813609467455621,0.1004016064257028,0.1004016064257028,2.8056338028169017,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,15,0.05,retrospective_offline_top_k_fold_local_budget,3,13,747,39,134,18,21,116,592,0.1343283582089552,0.4615384615384615,0.8656716417910447,0.0342577487765089,0.0522088353413654,0.0522088353413654,2.5729047072330657,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
HGBR,15,0.1,retrospective_offline_top_k_fold_local_budget,3,25,747,75,134,28,47,106,566,0.208955223880597,0.3733333333333333,0.7910447761194029,0.0766721044045677,0.1004016064257028,0.1004016064257028,2.0811940298507463,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
