model,horizon_days,metric,fold_1,fold_2,fold_3,mean,standard_deviation,minimum,maximum,range,interpretation
ElasticNet,1,MAE_mg_L,1.600332464977656,1.363075295927365,1.7838863496532262,1.5824313701860824,0.21097588163228534,1.363075295927365,1.7838863496532262,0.42081105372586114,descriptive only (no population confidence interval from three folds)
ElasticNet,1,MASE,1.3791251652651313,1.0909949527629403,1.3316245872042758,1.2672482350774492,0.1544765058965515,1.0909949527629403,1.3791251652651313,0.28813021250219095,descriptive only (no population confidence interval from three folds)
ElasticNet,1,RMSE_mg_L,1.9987727420135388,1.7561233122172897,2.1789064810443093,1.977934178425046,0.21216052003183294,1.7561233122172897,2.1789064810443093,0.4227831688270196,descriptive only (no population confidence interval from three folds)
HGBR,1,MAE_mg_L,1.605254144179916,1.5127763702441268,1.8767246063948544,1.6649183736062991,0.1891677690678026,1.5127763702441268,1.8767246063948544,0.3639482361507276,descriptive only (no population confidence interval from three folds)
HGBR,1,MASE,1.3833665412240286,1.2108145379250794,1.4009259220871666,1.3317023337454248,0.10505939914067818,1.2108145379250794,1.4009259220871666,0.19011138416208717,descriptive only (no population confidence interval from three folds)
HGBR,1,RMSE_mg_L,2.0379746162462777,1.91903765120315,2.2841816193187365,2.0803979622560544,0.18623193758804657,1.91903765120315,2.2841816193187365,0.3651439681155866,descriptive only (no population confidence interval from three folds)
Persistence,1,MAE_mg_L,1.33248031496063,1.5222047244094488,1.7834742052755908,1.5460530815485563,0.22644078779899957,1.33248031496063,1.7834742052755908,0.45099389031496084,descriptive only (no population confidence interval from three folds)
Persistence,1,MASE,1.148297103757294,1.2183609198732823,1.3313169321864295,1.2326583186056685,0.09234379300982923,1.148297103757294,1.3313169321864295,0.18301982842913556,descriptive only (no population confidence interval from three folds)
Persistence,1,RMSE_mg_L,1.7758884878448429,1.9711064481456249,2.386463705245336,2.0444862137452677,0.31183163169490796,1.7758884878448429,2.386463705245336,0.610575217400493,descriptive only (no population confidence interval from three folds)
Ridge,1,MAE_mg_L,1.5860623448409408,1.3593775618568986,1.730585354266177,1.5586750869880055,0.18711320826138883,1.3593775618568986,1.730585354266177,0.3712077924092785,descriptive only (no population confidence interval from three folds)
Ridge,1,MASE,1.366827544475332,1.0880353149354545,1.2918367857035504,1.248899881704779,0.14427044086265114,1.0880353149354545,1.366827544475332,0.2787922295398775,descriptive only (no population confidence interval from three folds)
