model,horizon_days,configuration_id,outer_fold,N,MAE,MSE,RMSE,MASE,mase_denominator,mase_denominator_source,mase_method,epsilon_or_stabilizer,training_rows_used_for_denominator,final_reference_configuration,pearson_prediction_correlation,spearman_prediction_rank_correlation,mean_prediction_difference,mean_absolute_prediction_difference,maximum_absolute_prediction_difference,retrospective_recall5_tau16
HGBR,1,LONG,1,254,1.6579855605342666,4.453438576768376,2.1103171744475704,1.4330144457345826,1.1569915181499415,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,237,REFERENCE,0.9350372851340032,0.9415271987791516,-0.2248383509887937,0.3255652804939575,1.542392549746907,0.0294117647058823
HGBR,1,LONG,2,254,1.3789122279495507,3.139929946363348,1.7719847477795478,1.10255375737485,1.2506530567091338,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,491,REFERENCE,0.9409767876958584,0.9407264745243276,-0.3487498026904948,0.4793609625807393,1.9227276695865532,0.0
HGBR,1,LONG,3,254,1.827470221265373,4.985229063714783,2.2327626527946904,1.3613395128065109,1.342405919105776,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,745,REFERENCE,0.9101097915487938,0.9034416094407636,-0.016839487875539,0.457255134000986,1.957854537159248,0.2058823529411764
HGBR,1,REFERENCE,1,254,1.6052541475952888,4.153340616949277,2.037974635992626,1.3833665663643653,1.1603968067774697,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.088235294117647
HGBR,1,REFERENCE,2,254,1.5127763766381042,3.682705538474513,1.919037659472714,1.210814552979168,1.2493873415257148,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.3333333333333333
HGBR,1,REFERENCE,3,254,1.876724622879048,5.217485777248212,2.284181642787677,1.4009259332374069,1.339631580051623,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.2058823529411764
HGBR,1,SHORT,1,254,1.609394981813215,4.219939923837147,2.054249236056118,1.3869350303502817,1.1603968067774697,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253,REFERENCE,0.9876041576295156,0.9837561206584492,-0.0837122601077298,0.1397763423632448,0.3879792387409591,0.088235294117647
HGBR,1,SHORT,2,254,1.490811426513733,3.5801757508024097,1.8921352358651349,1.19323397618225,1.2493873415257148,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507,REFERENCE,0.9963279789619154,0.9959665120911269,-0.0407029338929299,0.1098394240771043,0.4028856731234214,0.3333333333333333
HGBR,1,SHORT,3,254,1.9092510691332691,5.356006318259799,2.31430471594814,1.425206076161992,1.339631580051623,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761,REFERENCE,0.9673882723153944,0.9656516429982406,-0.0549130931201707,0.2810793921045953,1.276841704745202,0.2352941176470588
HGBR,3,LONG,1,249,1.8611855300581743,5.519275703263641,2.349313879255737,1.6133105013938192,1.1536437200631209,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248,REFERENCE,0.8543765242845637,0.844675130854332,-0.0907822546735273,0.4765991740591428,2.157116712582344,0.064516129032258
