model,display_model_name,horizon_days,outer_fold,fold_n,MAE_mg_L,MSE_mg2_L2,RMSE_mg_L,MASE,feature_date_start,feature_date_end,source_package,source_file,source_sha256,mase_method
ElasticNet,ElasticNet,1,1,254,1.600332464977656,3.995092474216321,1.9987727420135388,1.3791251652651313,2021-09-30,2022-06-10,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
ElasticNet,ElasticNet,1,2,254,1.363075295927365,3.083969087713024,1.7561233122172897,1.0909949527629403,2022-06-11,2023-02-19,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
ElasticNet,ElasticNet,1,3,254,1.7838863496532262,4.747633453136895,2.1789064810443093,1.3316245872042758,2023-02-20,2023-10-31,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,1,1,254,1.605254144179916,4.153340536464164,2.0379746162462777,1.3833665412240286,2021-09-30,2022-06-10,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,1,2,254,1.5127763702441268,3.6827055067353034,1.91903765120315,1.2108145379250794,2022-06-11,2023-02-19,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,1,3,254,1.8767246063948544,5.217485670033565,2.2841816193187365,1.4009259220871666,2023-02-20,2023-10-31,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,1,1,254,1.33248031496063,3.1537799212598423,1.7758884878448429,1.148297103757294,2021-09-30,2022-06-10,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,1,2,254,1.5222047244094488,3.88526062992126,1.9711064481456249,1.2183609198732823,2022-06-11,2023-02-19,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,1,3,254,1.7834742052755908,5.695209016453297,2.386463705245336,1.3313169321864295,2023-02-20,2023-10-31,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,1,1,254,1.5860623448409408,3.935423384758464,1.9837901564324956,1.366827544475332,2021-09-30,2022-06-10,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_by_fold.csv,51f7abeec022189f5a69f7ad5b88c0e80f321ec60ab6a8b956b4f4775ee80046,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
